City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Araouane,0,ML,1551141702,25,18.9,-3.53,57.89,13.47
Chibombo,0,ZM,1551141702,58,-14.68,28.09,64.91,7.43
Kodiak,1,US,1551141680,31,39.95,-94.76,32,12.75
Bluff,24,AU,1551141703,45,-23.58,149.07,81.47,12.46
San Quintin,24,PH,1551141703,77,17.54,120.52,70.13,3.62
New Norfolk,75,AU,1551141676,67,-42.78,147.06,59,13.87
Manta,24,RO,1551141616,65,45.1,24.1,25,2.17
Rio Grande,68,BR,1551141703,94,-32.03,-52.1,68.87,9.44
Punta Arenas,75,CL,1551141189,81,-53.16,-70.91,50,23.04
Qianguo,0,CN,1551141704,52,45.12,124.86,20,4.41
Zhigansk,68,RU,1551141704,69,66.77,123.37,-5.83,12.46
Kahului,20,US,1551141369,48,20.89,-156.47,82.4,12.75
Lorengau,8,PG,1551141705,93,-2.02,147.27,83.99,4.63
Abdanan,0,IR,1551141705,85,32.99,47.42,35.39,2.95
Cayenne,88,GF,1551139200,83,4.94,-52.33,78.8,9.17
Leticia,75,CO,1551139200,100,-4.21,-69.94,77,5.53
Okhotsk,0,RU,1551141706,100,59.36,143.24,-7.41,6.2
Souillac,0,FR,1551141618,87,45.6,-0.6,51.01,2.24
Albany,90,US,1551141304,54,42.65,-73.75,28.99,24.16
Puerto Ayora,75,EC,1551139200,70,-0.74,-90.35,86,8.05
Busselton,92,AU,1551141605,31,-33.64,115.35,81,13.47
Bathsheba,75,BB,1551139200,83,13.22,-59.52,75.2,14.99
Dubrovnik,0,HR,1551141620,31,42.65,18.09,46.4,8.05
Tsumeb,92,NA,1551141708,57,-19.25,17.72,77.06,2.95
Filingue,24,NE,1551141709,46,14.35,3.32,61.9,3.74
Vaini,0,IN,1551139200,63,15.34,74.49,64.4,1.83
Ryotsu,75,JP,1551139200,56,38.08,138.43,42.8,6.93
Ushuaia,75,AR,1551139200,87,-54.81,-68.31,44.6,13.87
Caravelas,0,BR,1551141710,100,-17.73,-39.27,84.13,18.05
Tuktoyaktuk,40,CA,1551139200,85,69.44,-133.03,14,9.17
Turkmenabat,75,TM,1551139200,80,39.09,63.58,39.2,2.24
Hilo,1,US,1551141679,57,19.71,-155.08,77,9.17
The Valley,75,AI,1551141133,78,18.22,-63.06,77,12.75
Hobart,75,AU,1551141376,67,-42.88,147.33,59,13.87
Rikitea,76,PF,1551141712,100,-23.12,-134.97,80.39,10.22
Chuy,0,UY,1551141611,79,-33.69,-53.46,61.85,12.57
Varzea da Palma,24,BR,1551141712,58,-17.6,-44.73,81.47,5.64
Novoanninskiy,80,RU,1551141260,93,50.53,42.67,32,1.99
Haines Junction,0,CA,1551141712,86,60.75,-137.51,13.79,2.17
Kursenai,90,LT,1551138600,80,55.98,22.92,35.6,9.17
Clinton,90,US,1551141375,50,30.87,-91.02,57,5.82
Hithadhoo,68,MV,1551141713,100,-0.6,73.08,77.15,5.64
Georgetown,75,GY,1551139200,78,6.8,-58.16,78.8,13.87
Great Yarmouth,0,GB,1551141665,65,52.61,1.73,43,3.36
Senekal,20,ZA,1551141715,35,-28.32,27.62,62.71,7.76
Barrow,8,AR,1551141715,68,-38.31,-60.23,52.04,12.01
Lagoa,0,PT,1551141428,71,37.14,-8.45,57.2,14.99
Faanui,8,PF,1551141715,100,-16.48,-151.75,83.99,7.87
Ambon,0,FR,1551141563,70,47.55,-2.56,46.99,5.82
Opuwo,76,NA,1551141716,29,-18.06,13.84,80.35,6.64
Podgornoye,80,RU,1551141716,74,57.79,82.64,11.86,7.76
Kibaya,20,RW,1551141170,88,-2.2,30.56,62.6,2.24
Mataura,56,NZ,1551141605,45,-46.19,168.86,68,8.99
Namibe,0,AO,1551141717,100,-15.19,12.15,76.48,6.76
Yellowknife,75,CA,1551141483,70,62.45,-114.38,1,9.17
Flin Flon,5,CA,1551139200,49,54.77,-101.88,-0.41,3.36
Dikson,92,RU,1551141718,92,73.51,80.55,9.65,20.51
Kabompo,0,ZM,1551141719,69,-13.6,24.21,71.3,4.18
Chokurdakh,8,RU,1551141719,63,70.62,147.9,-34.5,2.95
Oliver,75,CA,1551139200,50,49.18,-119.55,28.4,16.11
Chaozhou,75,CN,1551139200,87,23.66,116.62,60.8,5.64
Ponta do Sol,8,BR,1551141720,80,-20.63,-46,73.96,3.4
Jamestown,0,AU,1551141721,29,-33.21,138.6,84.13,4.63
Tingi,56,TZ,1551141721,100,-11.3,35.03,77.42,3.4
Qaanaaq,0,GL,1551141722,82,77.48,-69.36,-14.16,8.55
Nagato,20,JP,1551141623,76,34.35,131.14,50,2.24
Cyangugu,20,CD,1551141726,100,-2.49,28.9,56.45,2.39
Port Alfred,12,ZA,1551141439,95,-33.59,26.89,69.01,1.01
Lillooet,1,CA,1551139200,32,50.69,-121.94,26.6,8.05
Castro,80,CL,1551139200,71,-42.48,-73.76,55.4,14.99
Cangucu,44,BR,1551141732,79,-31.39,-52.68,63.11,6.98
Talnakh,88,RU,1551141732,82,69.49,88.39,8.8,22.64
Tiznit,0,MA,1551141732,62,29.7,-9.73,55.1,2.95
Hearst,36,CA,1551141733,50,49.69,-83.67,1.06,7.43
Togur,68,RU,1551141733,82,58.36,82.83,11.41,9.1
Carnarvon,44,ZA,1551141733,31,-30.97,22.13,64.91,8.1
Mar del Plata,8,AR,1551141734,55,-46.43,-67.52,56.41,9.22
Tambacounda,0,SN,1551139200,23,13.77,-13.67,75.2,6.93
Rawson,0,AR,1551141734,33,-43.3,-65.11,55.64,15.26
East London,8,ZA,1551141734,97,-33.02,27.91,77.2,16.93
Solnechnyy,0,RU,1551141735,65,50.72,136.64,8.21,2.73
Huarmey,32,PE,1551141735,68,-10.07,-78.15,74.45,3.74
Piacabucu,20,BR,1551141735,76,-10.41,-36.43,80.57,10.67
Provideniya,75,RU,1551139200,96,64.42,-173.23,32,20.13
Mayo,75,CA,1551139200,65,63.59,-135.9,5,3.36
San Jose,32,PH,1551141492,85,15.79,120.99,71.71,2.84
